14 11 24  1    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  2    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  3    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  4    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  5    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  6    48.4 1    45.0     5.10    -9.00    99.00    99.00
14 11 24  7     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24  8     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24  9     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24 10     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24 11     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24 12     6.8 1    50.0     5.60    -9.00    99.00    99.00
14 11 24 13   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 14   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 15   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 16   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 17   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 18   123.8 1    45.0     7.20    11.80    99.00    99.00
14 11 24 19    23.4 1   350.0     5.60    -9.00    99.00    99.00
14 11 24 20    23.4 1   350.0     5.60    -9.00    99.00    99.00
14 11 24 21    23.4 1   350.0     5.60    -9.00    99.00    99.00
14 11 24 22    23.4 1   350.0     5.60    -9.00    99.00    99.00
14 11 24 23    23.4 1   350.0     5.60    -9.00    99.00    99.00
14 11 24 24    23.4 1   350.0     5.60    -9.00    99.00    99.00
